"idx_sin","gar_sin","surv_sin","decl_sin","clo_sin","gest_sin","mt_eval","mt_regl","incoh_decl_before_surv","incoh_gest_before_decl","incoh_clo_before_surv","incoh_neg_eval","incoh_neg_regl","delai_declaration_jours","sinistre_cloturé","sinistre_payé"
"S18-3176225","AssBase",2018-10-03,2018-10-12,2018-11-11,2018-11-11,237.1,237.1,FALSE,FALSE,FALSE,FALSE,FALSE,9,1,1
"S18-3203857","AssVHR",2018-12-25,2018-12-25,2019-04-30,2019-04-30,239.66,239.66,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-3232874","AssBase",2018-12-28,2018-12-29,2019-01-15,2019-01-15,228.79,228.79,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-3249172","AssBase",2018-11-29,2018-11-29,2019-02-15,2019-02-15,241.24,241.24,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-3313543","AssVHR",2018-12-11,2018-12-23,2019-05-12,2019-05-12,248.41,248.41,FALSE,FALSE,FALSE,FALSE,FALSE,12,1,1
"S18-3392307","AssBase",2018-11-22,2018-11-23,2019-01-09,2019-01-09,244.99,244.99,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-3414790","AssVHR",2018-11-05,2018-11-06,2019-03-05,2019-03-05,223.64,223.64,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-3425498","AssBase",2018-12-16,2018-12-26,2019-01-28,2019-01-28,213.01,213.01,FALSE,FALSE,FALSE,FALSE,FALSE,10,1,1
"S18-3461266","AssBase",2018-12-21,2018-12-21,2019-01-20,2019-01-20,297.41,297.41,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-3466310","AssVHR",2018-11-06,2018-11-07,2019-03-11,2019-03-11,253.28,253.28,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-3478984","AssVHR",2018-10-04,2018-10-06,2019-03-22,2019-03-22,269.31,269.31,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-3483919","Ass0km",2018-12-31,2019-01-18,2019-01-18,2019-01-18,283.42,283.42,FALSE,FALSE,FALSE,FALSE,FALSE,18,1,1
"S18-3501061","AssBase",2018-09-03,2018-09-03,2018-09-11,2018-09-11,231.45,231.45,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-3520964","Ass0km",2018-09-07,2018-09-10,2018-10-13,2018-10-13,235.02,235.02,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-3598688","AssVHR",2018-09-29,2018-09-29,2019-01-03,2019-01-03,252.93,252.93,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-3682873","AssVHR",2018-10-22,2018-10-22,2019-03-08,2019-03-08,266.11,266.11,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-3689384","AssVHR",2018-11-22,2018-11-23,2020-07-19,2020-07-19,230.87,230.87,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-3749063","AssVHR",2018-09-29,2018-10-01,2019-02-15,2019-02-15,211.56,211.56,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-3752867","AssVHR",2018-10-31,2018-10-31,2019-02-08,2019-02-08,209.01,209.01,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-3804921","AssVHR",2018-10-06,2018-10-06,2019-05-20,2019-05-20,316.06,316.06,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-3853022","AssBase",2018-09-07,2018-09-08,2018-10-30,2018-10-30,227.86,227.86,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-3926275","AssVHR",2018-10-11,2018-10-11,2019-02-08,2019-02-08,273.29,273.29,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-3947783","Ass0km",2018-09-03,2018-09-11,2018-09-27,2018-09-27,256.47,256.47,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,1
"S18-3950150","AssVHR",2018-10-06,2018-10-06,2019-02-06,2019-02-06,218.88,218.88,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4006514","AssVHR",2018-10-19,2018-10-19,2019-01-29,2019-01-29,262.56,262.56,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4044408","AssVHR",2018-11-01,2018-11-04,2019-03-04,2019-03-04,264.78,264.78,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-4046245","AssBase",2018-10-08,2018-10-12,2018-10-26,2018-10-26,229.85,229.85,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-4070378","Ass0km",2018-11-26,2018-11-26,2018-12-19,2018-12-19,223.13,223.13,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4170394","AssVHR",2018-10-06,2018-10-09,2020-01-03,2020-01-03,200.55,200.55,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-4194590","AssBase",2018-12-03,2018-12-06,2019-03-10,2019-03-10,297.07,297.07,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-4214256","AssVHR",2018-11-19,2018-11-19,2019-05-08,2019-05-08,225.41,225.41,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4283667","AssVHR",2018-09-19,2018-09-20,2019-01-10,2019-01-10,252.27,252.27,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-4307658","AssVHR",2018-11-08,2018-11-15,2019-04-19,2019-04-19,293.59,293.59,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,1
"S18-4314591","Ass0km",2018-10-12,2018-10-12,2019-05-03,2019-05-03,246.55,246.55,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4409138","Ass0km",2018-11-14,2018-11-14,2018-12-30,2018-12-30,241.05,241.05,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4417631","AssBase",2018-09-20,2018-10-03,2018-10-10,2018-10-10,241.84,241.84,FALSE,FALSE,FALSE,FALSE,FALSE,13,1,1
"S18-4441641","AssBase",2018-10-07,2018-10-08,2018-11-10,2018-11-10,286.47,286.47,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-4455882","AssVHR",2018-12-29,2018-12-30,2020-02-17,2020-02-17,301.83,301.83,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-4510018","AssBase",2018-10-22,2018-10-23,2019-01-27,2019-01-27,216.97,216.97,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-4526588","AssBase",2018-09-29,2018-09-29,2018-11-05,2018-11-05,243.8,243.8,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4550626","AssBase",2018-12-22,2018-12-23,2019-05-16,2019-05-16,242.87,242.87,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-4557247","AssVHR",2018-12-28,2018-12-31,2019-04-30,2019-04-30,195.42,195.42,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-4576666","Ass0km",2018-11-26,2018-11-26,2019-06-29,2019-06-29,226.59,226.59,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4594390","AssBase",2018-10-26,2018-10-30,2019-01-10,2019-01-10,211.29,211.29,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-4624882","Ass0km",2018-10-01,2018-10-03,2018-11-07,2018-11-07,258.81,258.81,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-4641290","AssVHR",2018-10-30,2018-10-31,2019-02-22,2019-02-22,255.15,255.15,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-4643917","Ass0km",2018-11-09,2018-11-11,2018-11-19,2018-11-19,275.76,275.76,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-4650672","AssBase",2018-12-05,2018-12-05,2018-12-29,2018-12-29,241.34,241.34,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4682482","AssVHR",2018-10-06,2018-10-06,2019-01-28,2019-01-28,218.49,218.49,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-4715633","Ass0km",2018-12-01,2018-12-02,2019-01-13,2019-01-13,230.66,230.66,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-4736904","AssVHR",2018-12-29,2018-12-30,2019-07-04,2019-07-04,245.26,245.26,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-4755250","AssVHR",2018-11-05,2018-11-08,2019-06-05,2019-06-05,211.63,211.63,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-4781510","Ass0km",2018-11-27,2018-11-29,2018-11-29,2018-11-29,314.62,314.62,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-4787815","AssVHR",2018-12-21,2018-12-23,2019-06-19,2019-06-19,297.85,297.85,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1
"S18-4819862","Ass0km",2018-10-01,2018-10-02,2018-12-30,2018-12-30,260.44,260.44,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-4863286","Ass0km",2018-09-19,2018-09-30,2018-10-22,2018-10-22,237.31,237.31,FALSE,FALSE,FALSE,FALSE,FALSE,11,1,1
"S18-4933150","AssVHR",2018-09-28,2018-10-02,2019-02-06,2019-02-06,255.97,255.97,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-4989230","AssVHR",2018-09-06,2018-09-07,2018-12-16,2018-12-16,240.99,240.99,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-5003659","AssVHR",2018-11-06,2018-11-06,2018-11-06,2018-11-06,245.74,245.74,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-5187180","AssBase",2018-09-12,2018-09-13,2018-09-27,2018-09-27,215.24,215.24,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-5187473","AssVHR",2018-09-05,2018-09-09,2019-01-30,2019-01-30,264.1,264.1,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,1
"S18-5210639","AssVHR",2018-12-21,2018-12-26,2019-04-26,2019-04-26,242.5,242.5,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1
"S18-5258153","AssBase",2018-12-28,2019-01-13,2019-02-01,2019-02-01,269.76,269.76,FALSE,FALSE,FALSE,FALSE,FALSE,16,1,1
"S18-5258830","AssBase",2018-10-30,2018-10-30,2018-12-30,2018-12-30,237.97,237.97,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-5279290","Ass0km",2018-09-03,2018-09-03,2018-09-21,2018-09-21,283.26,283.26,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-5334272","Ass0km",2018-12-25,2018-12-25,2019-04-29,2019-04-29,317.59,317.59,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-5368198","AssBase",2018-09-24,2018-09-24,2018-12-04,2018-12-04,215.41,215.41,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-5385197","AssVHR",2018-11-29,2018-11-29,2018-11-29,2018-11-29,230.61,230.61,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-5388841","AssVHR",2018-12-08,2018-12-15,2019-05-30,2019-05-30,312.36,312.36,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,1
"S18-5397094","Ass0km",2018-09-13,2018-09-13,2018-09-13,2018-09-13,292.85,292.85,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-5450609","AssVHR",2018-11-02,2018-11-03,2019-03-27,2019-03-27,210.66,210.66,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-5452185","AssBase",2018-11-13,2018-11-13,2019-11-19,2019-11-19,271.4,271.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-5454497","AssBase",2018-10-02,2018-10-03,2019-05-06,2019-05-06,260.65,260.65,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
"S18-5462331","AssVHR",2018-11-19,2018-11-19,2019-04-25,2019-04-25,298.09,298.09,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1
"S18-5462922","AssBase",2018-11-25,2018-12-01,2019-05-13,2019-05-13,284.04,284.04,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,1
"S18-5464857","AssBase",2018-12-19,2018-12-22,2019-05-20,2019-05-20,295.42,295.42,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1
"S18-5471414","Ass0km",2018-09-24,2018-10-10,2018-12-09,2018-12-09,316.39,316.39,FALSE,FALSE,FALSE,FALSE,FALSE,16,1,1
"S18-5478650","AssVHR",2018-11-29,2018-11-30,2019-05-21,2019-05-21,206.61,206.61,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1
