"idx_sin","gar_sin","surv_sin","decl_sin","clo_sin","gest_sin","mt_eval","mt_regl","incoh_decl_before_surv","incoh_gest_before_decl","incoh_clo_before_surv","incoh_neg_eval","incoh_neg_regl","delai_declaration_jours","sinistre_cloturé","sinistre_payé","idx_ct","idx_year","vh_immat","sit_start_date","sit_end_date","sit_expo","drv1age","drv1sex","drv1drive_licence_type","drv1drive_licence_age","vh_age","ct_frm","ct_ass_base","ct_ass0km","ct_ass_vhr","vh_segment","vh_marque","vh_energy","vh_weight","vh_din","vh_value","vh_group","vh_class","ct_usage","ct_km","ct_deduc","claims_ant","ct_insee","id1_ass_base","id1_ass0km","id1_ass_vhr","id2_ass_base","id2_ass0km","id2_ass_vhr","id3_ass_base","id3_ass0km","id3_ass_vhr","cot_ass_base","cot_ass0km","cot_ass_vhr","duree_contrat_jours","jeune_conducteur","cotisation_total","source_id"
"S19-0045482","AssBase","2019-05-21","2019-05-21","2019-07-18","2019-07-18",145.43,145.43,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002516090",2019,"NP-3851-XE","2019-01-01","2019-12-31",1,23,"F","Traditionnel",1.51,18.2,"Mini",1,0,0,"Citadine","Renault","Diesel",1992,159,12820.9,21,3,"Pro","N",200,1,"39523","S19-0045482",NA,NA,NA,NA,NA,NA,NA,NA,22.79,0,0,364,1,22.79,"id1_ass_base"
"S19-0045743","AssBase","2019-05-13","2019-05-14","2019-08-30","2019-08-30",149.94,149.94,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002516290",2019,"JM-5416-BH","2019-01-01","2019-12-31",1,64,"H","Traditionnel",44.3,13.7,"Maxi",1,1,1,"Familiale","Renault","Essence",1102,115,14183.53,14,3,"Pri","O",200,1,"52356","S19-0045743",NA,NA,NA,NA,NA,NA,NA,NA,27.44,22.24,20.03,364,0,69.71,"id1_ass_base"
"S19-0046341","AssBase","2019-11-11","2019-11-12","2019-12-15","2019-12-15",187.03,187.03,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002516758",2019,"NZ-7313-YH","2019-01-01","2019-12-31",1,65,"H","Cond Accompagnée",46.36,12.85,"Med1",1,0,0,"Citadine","Toyota","Diesel",1575,148,22892.86,9,4,"Pri","N",400,0,"41080","S19-0046341",NA,NA,NA,NA,NA,NA,NA,NA,22.29,0,0,364,0,22.29,"id1_ass_base"
"S19-0047386","AssBase","2019-07-31","2019-08-10","2020-01-10","2020-01-10",248.22,248.22,FALSE,FALSE,FALSE,FALSE,FALSE,10,1,1,"C002517545",2019,"XL-1010-DS","2019-07-31","2019-12-31",0.421917808219178,44,"F","Cond Accompagnée",26.16,14.72,"Mini",1,0,0,"SUV","Citroen","Diesel",2053,214,10522.12,21,3,"Pri","N",300,0,"77293","S19-0047386",NA,NA,NA,NA,NA,NA,NA,NA,10.36,0,0,153,0,10.36,"id1_ass_base"
"S19-0048017","AssBase","2019-07-24","2019-07-24","2019-08-24","2019-08-24",201.49,201.49,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002518017",2019,"XQ-4252-ME","2019-01-01","2019-12-31",1,64,"H","Traditionnel",44.71,4.31,"Maxi",1,1,0,"Citadine","Volkswagen","Diesel",1274,71,8006.47,11,3,"Pri","N",500,0,"89058","S19-0048017",NA,NA,NA,NA,NA,NA,NA,NA,21.2,18.71,0,364,0,39.91,"id1_ass_base"
"S19-0048095","AssBase","2019-07-03","2019-07-04","2019-11-27","2019-11-27",168.55,168.55,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002518067",2019,"AX-7083-TY","2019-01-01","2019-12-31",1,21,"F","Cond Accompagnée",2.34,8.95,"Mini",1,0,0,"Citadine","Renault","Diesel",1181,140,4452.83,20,2,"Pri","N",300,0,"1032","S19-0048095",NA,NA,NA,NA,NA,NA,NA,NA,21.48,0,0,364,1,21.48,"id1_ass_base"
"S19-0048191","AssBase","2019-12-19","2019-12-22","2020-03-17","2020-03-17",232.62,232.62,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1,"C002518146",2019,"KB-7044-QN","2019-01-01","2019-12-31",1,42,"F","Traditionnel",20.38,7.6,"Mini",1,0,0,"Familiale","Renault","Diesel",1570,136,16021.01,14,4,"Pri","N",400,0,"28268","S19-0048191",NA,NA,NA,NA,NA,NA,NA,NA,25.02,0,0,364,0,25.02,"id1_ass_base"
"S19-0048233","AssBase","2019-05-09","2019-05-10","2020-12-21","2020-12-21",205.7,205.7,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002518175",2019,"AX-0895-HF","2019-01-01","2019-12-31",1,25,"F","Traditionnel",6.43,6.09,"Maxi",1,0,0,"Familiale","Toyota","Essence",1101,74,15155.57,12,3,"Pri","N",300,0,"7022","S19-0048233",NA,NA,NA,NA,NA,NA,NA,NA,22.73,0,0,364,0,22.73,"id1_ass_base"
"S19-0048253","AssBase","2019-10-09","2019-10-09","2019-10-24","2019-10-24",183.4,183.4,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002518189",2019,"QT-6768-RB","2019-01-01","2019-12-31",1,23,"F","Traditionnel",3.52,8.86,"Mini",1,0,0,"Compacte","Peugeot","Essence",1816,122,8155.01,10,3,"Pri","N",200,1,"32235","S19-0048253",NA,NA,NA,NA,NA,NA,NA,NA,22.5,0,0,364,1,22.5,"id1_ass_base"
"S19-0049433","AssBase","2019-11-27","2019-11-29","2019-12-10","2019-12-10",220.09,220.09,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C002519047",2019,"KD-1127-FS","2019-01-01","2019-12-31",1,60,"H","Cond Accompagnée",39.64,9.77,"Med1",1,0,0,"Compacte","Nissan","Electrique/Hybride",1694,142,8878.99,20,3,"Pro","N",300,0,"27012","S19-0049433",NA,NA,NA,NA,NA,NA,NA,NA,21.84,0,0,364,0,21.84,"id1_ass_base"
"S19-0049548","AssBase","2019-08-18","2019-08-19","2019-10-25","2019-10-25",165.68,165.68,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002519121",2019,"XX-2900-BH","2019-01-01","2019-12-31",1,20,"F","Traditionnel",1.4,11.69,"Mini",1,0,0,"SUV","Dacia","Essence",2015,138,19473.82,19,3,"Pri","N",200,0,"89319","S19-0049548",NA,NA,NA,NA,NA,NA,NA,NA,24.66,0,0,364,1,24.66,"id1_ass_base"
"S19-0049656","AssBase","2019-04-22","2019-04-22","2019-04-22","2019-04-22",182.52,182.52,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002519214",2019,"QK-7237-MX","2019-01-01","2019-12-31",1,39,"H","Traditionnel",19.99,8.79,"Med2",1,0,0,"Familiale","Renault","Electrique/Hybride",1366,198,8413.55,7,2,"Pri","N",200,0,"33441","S19-0049656",NA,NA,"S19-3867344",NA,NA,NA,NA,NA,22.23,0,0,364,0,22.23,"id1_ass_base"
"S19-0050108","AssBase","2019-02-04","2019-02-09","2019-04-13","2019-04-13",208.4,208.4,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"C002519541",2019,"AY-7513-ST","2019-01-01","2019-12-31",1,30,"H","Traditionnel",9.15,1.79,"Maxi",1,0,0,"Citadine","Autre","Electrique/Hybride",1452,119,22824.9,12,4,"Pri","N",200,0,"89108","S19-0050108",NA,NA,NA,NA,NA,NA,NA,NA,20.65,0,0,364,0,20.65,"id1_ass_base"
"S19-0050251","AssBase","2019-08-10","2019-08-11","2019-09-07","2019-09-07",228.03,228.03,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002519656",2019,"CJ-1352-XF","2019-01-01","2019-12-31",1,38,"H","Traditionnel",17.09,10.73,"Med2",1,0,0,"Compacte","Autre","Diesel",1413,208,23316.23,17,4,"Pri","N",200,0,"69123","S19-0050251",NA,NA,NA,NA,NA,NA,NA,NA,22.78,0,0,364,0,22.78,"id1_ass_base"
"S19-0050526","AssBase","2019-08-19","2019-08-26","2019-09-25","2019-09-25",225.4,225.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,1,1,"C002519866",2019,"RR-1807-SQ","2019-01-01","2019-12-31",1,68,"F","Traditionnel",46.89,7.88,"Med1",1,0,0,"Familiale","Nissan","Essence",969,126,8309.48,17,2,"Pri","O",300,1,"89404","S19-0050526",NA,NA,NA,NA,NA,NA,NA,NA,23.57,0,0,364,0,23.57,"id1_ass_base"
"S19-0050668","AssBase","2019-11-06","2019-11-06","2020-05-30","2020-05-30",192.31,192.31,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002519976",2019,"EK-8037-HS","2019-01-01","2019-12-31",1,49,"H","Cond Accompagnée",28.51,16.15,"Mini",1,0,0,"Citadine","BMW","Diesel",1510,135,12189.08,12,3,"Pri","N",500,0,"68156","S19-0050668",NA,NA,NA,NA,NA,NA,NA,NA,21.84,0,0,364,0,21.84,"id1_ass_base"
"S19-0050909","AssBase","2019-01-16","2019-01-17","2019-01-26","2019-01-26",191.42,191.42,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002520158",2019,"RL-1511-KQ","2019-01-01","2019-12-31",1,39,"H","Traditionnel",17.22,5.75,"Maxi",1,0,0,"Citadine","Renault","Diesel",1103,133,15827.35,16,4,"Pri","N",200,0,"17225","S19-0050909",NA,NA,NA,NA,NA,NA,NA,NA,22.37,0,0,364,0,22.37,"id1_ass_base"
"S19-0050974","AssBase","2019-10-26","2019-10-26","2019-11-30","2019-11-30",210.36,210.36,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002520198",2019,"PT-1656-RD","2019-01-01","2019-12-31",1,25,"H","Traditionnel",4.68,13.23,"Med2",1,1,0,"Familiale","Renault","Diesel",1503,136,11031.78,24,3,"Pri","N",200,0,"22232","S19-0050974",NA,NA,NA,NA,NA,NA,NA,NA,25.79,21.9,0,364,1,47.69,"id1_ass_base"
"S19-0051383","AssBase","2019-12-01","2019-12-01","2020-03-15","2020-03-15",208.35,208.35,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002520490",2019,"SD-8604-XL","2019-01-01","2019-12-31",1,61,"F","Traditionnel",42.8,12.16,"Maxi",1,1,0,"Familiale","Renault","Diesel",1498,148,25384.68,9,4,"Pri","N",200,0,"47043","S19-0051383",NA,NA,NA,NA,NA,NA,NA,NA,26.86,22.64,0,364,0,49.5,"id1_ass_base"
"S19-0051610","AssBase","2019-07-16","2019-07-16","2019-11-02","2019-11-02",200.06,200.06,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002520654",2019,"MX-1618-ME","2019-01-01","2019-12-31",1,53,"H","Traditionnel",32.01,17.65,"Maxi",1,0,0,"Compacte","Citroen","Essence",753,87,8933.86,12,3,"Pri","N",200,0,"54562","S19-0051610",NA,NA,NA,NA,NA,NA,NA,NA,22.5,0,0,364,0,22.5,"id1_ass_base"
"S19-0051945","AssBase","2019-03-28","2019-03-29","2019-04-10","2019-04-10",146.87,146.87,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002520924",2019,"FP-5513-AQ","2019-01-01","2019-12-31",1,39,"H","Traditionnel",18.28,5.38,"Med2",1,0,0,"Citadine","Ford","Essence",1458,187,10716.69,14,2,"Pri","N",200,2,"28425","S19-0051945",NA,NA,NA,NA,NA,NA,NA,NA,22.98,0,0,364,0,22.98,"id1_ass_base"
"S19-0052004","AssBase","2019-03-10","2019-03-16","2019-04-10","2019-04-10",163.11,163.11,FALSE,FALSE,FALSE,FALSE,FALSE,6,1,1,"C002520971",2019,"YT-3198-ZL","2019-01-01","2019-12-31",1,25,"H","Cond Accompagnée",3.37,10.84,"Med1",1,1,0,"SUV","Peugeot","Essence",1474,147,10701.01,7,3,"Pri","N",200,2,"94041","S19-0052004",NA,NA,NA,NA,NA,NA,NA,NA,24.39,20.92,0,364,0,45.31,"id1_ass_base"
"S19-0052538","AssBase","2019-12-02","2019-12-13","2020-01-04","2020-01-04",189.04,189.04,FALSE,FALSE,FALSE,FALSE,FALSE,11,1,1,"C002521404",2019,"SH-0891-JK","2019-01-01","2019-12-31",1,50,"H","Cond Accompagnée",29.99,10.18,"Mini",1,0,0,"Compacte","Renault","Diesel",1760,149,9290.7,23,3,"Pri","N",200,2,"88391","S19-0052538",NA,NA,NA,NA,NA,NA,NA,NA,21.84,0,0,364,0,21.84,"id1_ass_base"
"S19-0052874","AssBase","2019-06-28","2019-06-28","2019-11-20","2019-11-20",218.16,218.16,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002521642",2019,"TP-4368-MZ","2019-01-01","2019-12-31",1,43,"H","Traditionnel",23.71,13.11,"Mini",1,0,0,"Citadine","Citroen","Electrique/Hybride",1649,89,6421.41,11,3,"Pri","N",400,0,"88470","S19-0052874",NA,NA,"S19-3870536",NA,NA,NA,NA,NA,20.27,0,0,364,0,20.27,"id1_ass_base"
"S19-0052997","AssBase","2019-12-28","2019-12-28","2020-01-23","2020-01-23",210.68,210.68,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002521740",2019,"ZK-0127-BF","2019-01-01","2019-12-31",1,48,"H","Traditionnel",29.67,14.12,"Mini",1,0,0,"SUV","Citroen","Essence",1487,88,6097.07,16,2,"Pri","N",400,0,"77442","S19-0052997",NA,NA,NA,NA,NA,NA,NA,NA,23.4,0,0,364,0,23.4,"id1_ass_base"
"S19-0053130","AssBase","2019-02-23","2019-02-23","2019-06-04","2019-06-04",153.57,153.57,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002521840",2019,"CJ-6750-TK","2019-01-01","2019-12-31",1,43,"H","Traditionnel",24.12,11.44,"Mini",1,0,0,"Compacte","Renault","Essence",1091,69,16534.52,13,3,"Pri","N",200,0,"35208","S19-0053130",NA,NA,NA,NA,NA,NA,NA,NA,23.92,0,0,364,0,23.92,"id1_ass_base"
"S19-0053488","AssBase","2019-08-12","2019-08-12","2019-09-18","2019-09-18",165.66,165.66,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002522127",2019,"KX-7582-MJ","2019-02-21","2019-12-31",0.86027397260274,33,"H","Traditionnel",12.69,7.41,"Maxi",1,0,0,"Compacte","Citroen","Diesel",1634,157,16062.19,6,3,"Pri","O",300,0,"77022","S19-0053488",NA,NA,NA,NA,NA,NA,NA,NA,20.76,0,0,313,0,20.76,"id1_ass_base"
"S19-0053605","AssBase","2019-01-10","2019-01-10","2019-02-11","2019-02-11",182.55,182.55,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002522232",2019,"ZQ-6522-FY","2019-01-01","2019-12-31",1,68,"H","Cond Accompagnée",49.32,11.08,"Mini",1,0,0,"Familiale","Volkswagen","Diesel",1384,234,16573.31,27,3,"Pri","N",200,0,"58081","S19-0053605",NA,NA,NA,NA,NA,NA,NA,NA,24.45,0,0,364,0,24.45,"id1_ass_base"
"S19-0053866","AssBase","2019-02-08","2019-02-10","2019-06-10","2019-06-10",219.95,219.95,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C002522441",2019,"JM-0030-LF","2019-01-01","2019-12-31",1,33,"H","Traditionnel",11.64,8.17,"Med2",1,0,0,"Familiale","Peugeot","Electrique/Hybride",1685,157,12922.39,20,3,"Pro","N",200,0,"15175","S19-0053866",NA,NA,NA,NA,NA,NA,NA,NA,23.8,0,0,364,0,23.8,"id1_ass_base"
"S19-0054616","AssBase","2019-01-13","2019-01-14","2019-08-24","2019-08-24",199.16,199.16,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002522994",2019,"XG-4093-DC","2019-01-01","2019-12-31",1,23,"H","Traditionnel",4.5,9.82,"Maxi",1,0,0,"SUV","Citroen","Essence",1936,221,12141.68,30,2,"Pri","N",400,0,"28168","S19-0054616",NA,NA,NA,NA,NA,NA,NA,NA,24.55,0,0,364,1,24.55,"id1_ass_base"
"S19-0055083","AssBase","2019-04-29","2019-05-01","2019-05-01","2019-05-01",240.8,240.8,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C002523313",2019,"PL-9551-HQ","2019-01-01","2019-12-31",1,48,"H","Traditionnel",29.67,8.71,"Maxi",1,0,0,"Familiale","Renault","Electrique/Hybride",1959,123,16085.72,19,4,"Pri","N",200,0,"42272","S19-0055083",NA,NA,NA,NA,NA,NA,NA,NA,25.02,0,0,364,0,25.02,"id1_ass_base"
"S19-0055166","AssBase","2019-03-13","2019-03-14","2019-04-09","2019-04-09",130.18,130.18,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002523368",2019,"HF-9846-CM","2019-01-01","2019-12-31",1,54,"F","Cond Accompagnée",32.31,11.98,"Mini",1,0,0,"Citadine","Seat","Essence",950,117,15812.31,11,4,"Pri","N",200,1,"72322","S19-0055166",NA,NA,NA,NA,NA,NA,NA,NA,23.07,0,0,364,0,23.07,"id1_ass_base"
"S19-0055359","AssBase","2019-09-18","2019-09-19","2019-10-10","2019-10-10",174.91,174.91,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002523518",2019,"AJ-6260-GE","2019-01-01","2019-12-31",1,58,"H","Traditionnel",36.18,14.7,"Med2",1,0,0,"SUV","Renault","Essence",1026,82,6038.2,11,2,"Pri","N",200,0,"62209","S19-0055359",NA,NA,NA,NA,NA,NA,NA,NA,22.21,0,0,364,0,22.21,"id1_ass_base"
"S19-0055639","AssBase","2019-07-20","2019-07-22","2019-08-14","2019-08-14",215.06,215.06,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,"C002523719",2019,"LM-1529-BE","2019-01-01","2019-12-31",1,50,"F","Cond Accompagnée",31.82,4.59,"Maxi",1,0,0,"Citadine","Peugeot","Electrique/Hybride",1367,255,35544.21,17,5,"Pri","N",200,0,"35107","S19-0055639",NA,NA,NA,NA,NA,NA,NA,NA,22.98,0,0,364,0,22.98,"id1_ass_base"
"S19-0055854","AssBase","2019-12-11","2019-12-12","2020-12-31","2020-12-31",203.24,203.24,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002523895",2019,"JX-5564-NB","2019-01-01","2019-12-31",1,54,"H","Traditionnel",35.15,12.33,"Mini",1,0,0,"Compacte","BMW","Essence",1393,96,10089.68,21,2,"Pri","O",400,1,"66077","S19-0055854",NA,NA,NA,NA,NA,NA,NA,NA,23,0,0,364,0,23,"id1_ass_base"
"S19-0055884","AssBase","2019-07-29","2019-08-16","2019-11-10","2019-11-10",221.82,221.82,FALSE,FALSE,FALSE,FALSE,FALSE,18,1,1,"C002523928",2019,"PE-4094-SH","2019-01-01","2019-12-31",1,39,"F","Traditionnel",19.62,9.71,"Med2",1,0,0,"Familiale","Citroen","Essence",900,152,7744.64,4,2,"Pri","O",200,1,"83151","S19-0055884",NA,NA,NA,NA,NA,NA,NA,NA,23.77,0,0,364,0,23.77,"id1_ass_base"
"S19-0056198","AssBase","2019-10-12","2019-10-12","2019-10-28","2019-10-28",164.2,164.2,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002524161",2019,"HY-0565-KP","2019-01-01","2019-12-31",1,42,"H","Traditionnel",24.19,9.25,"Med2",1,0,0,"Compacte","Dacia","Electrique/Hybride",1406,114,4167.61,14,2,"Pro","N",200,0,"24108","S19-0056198",NA,NA,NA,NA,NA,NA,NA,NA,21.76,0,0,364,0,21.76,"id1_ass_base"
"S19-0056409","AssBase","2019-11-30","2019-12-01","2020-04-04","2020-04-04",191.46,191.46,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002524339",2019,"SJ-0305-GL","2019-01-01","2019-12-31",1,36,"H","Traditionnel",17.09,6.01,"Maxi",1,0,0,"Citadine","Ford","Essence",1198,67,9727.39,7,4,"Pri","O",200,0,"80405","S19-0056409",NA,NA,NA,NA,NA,NA,NA,NA,22.3,0,0,364,0,22.3,"id1_ass_base"
"S19-0056576","AssBase","2019-09-26","2019-09-26","2019-11-21","2019-11-21",170.92,170.92,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002524482",2019,"MQ-3744-JQ","2019-03-21","2019-12-31",0.783561643835616,40,"F","Cond Accompagnée",18.97,16.92,"Mini",1,0,0,"Citadine","Renault","Essence",1302,76,3880.09,8,2,"Pri","N",200,0,"45136","S19-0056576",NA,NA,NA,NA,NA,NA,NA,NA,16.83,0,0,285,0,16.83,"id1_ass_base"
"S19-0056666","AssBase","2019-02-15","2019-02-20","2019-02-20","2019-02-20",191.32,191.32,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"C002524545",2019,"XC-4629-GK","2019-01-01","2019-12-31",1,57,"F","Cond Accompagnée",35.92,11.39,"Mini",1,0,0,"Citadine","Autre","Essence",1076,88,13586.28,24,3,"Pri","N",300,0,"8368","S19-0056666",NA,NA,NA,NA,NA,NA,NA,NA,22.98,0,0,364,0,22.98,"id1_ass_base"
"S19-0056698","AssBase","2019-02-06","2019-02-07","2019-05-03","2019-05-03",176.48,176.48,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,"C002524575",2019,"JL-4993-LA","2019-01-01","2019-12-31",1,24,"H","Traditionnel",4.61,4.53,"Maxi",1,0,0,"Citadine","BMW","Essence",1228,55,3062.12,15,2,"Pri","O",200,0,"23130","S19-0056698",NA,NA,NA,NA,NA,NA,NA,NA,19.86,0,0,364,1,19.86,"id1_ass_base"
"S19-0056910","AssBase","2019-09-04","2019-09-04","2019-09-27","2019-09-27",189.45,189.45,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,"C002524728",2019,"FN-2272-KZ","2019-01-01","2019-12-31",1,25,"H","Cond Accompagnée",5.67,8.54,"Mini",1,0,0,"Citadine","Autre","Electrique/Hybride",1430,208,18404.46,23,4,"Pro","N",200,0,"26349","S19-0056910",NA,NA,NA,NA,NA,NA,NA,NA,23.07,0,0,364,1,23.07,"id1_ass_base"
